,Uid,Swim_beach
0,,True
1,,True
2,-156.97779_21.07208,True
3,-156.97743_21.07189,True
4,,True
5,-156.97155_21.07065,True
6,-156.97114_21.07420,True
7,-156.97017_21.07985,True
8,-156.97106_21.07062,True
9,-156.97145_21.07065,True
10,-156.97007_21.07985,True
11,-156.97902_21.07264,True
12,-156.97856_21.07244,True
13,-156.97832_21.07236,True
14,-156.97811_21.07225,True
15,-156.98025_21.07313,True
16,-156.97987_21.07299,True
17,-156.75120_21.10822,True
18,-156.75110_21.10822,True
19,,True
20,,True
21,-156.74631_21.10668,True
22,,True
23,-156.74635_21.10810,True
24,,True
25,-156.74184_21.11192,True
26,,True
27,,True
28,,True
29,-156.74036_21.11454,True
30,-156.74165_21.11497,True
31,-156.74155_21.11497,True
32,,True
33,,True
34,,True
35,,True
36,,True
37,,True
38,,True
39,-157.28756_21.14135,True
40,,True
41,,True
42,,True
43,-156.73776_21.14276,True
44,,True
45,,True
46,,True
47,,True
48,,True
49,,True
50,,True
51,,True
52,,True
53,-157.25752_21.16708,True
54,,True
55,-157.22836_21.17295,True
56,-157.22915_21.17232,True
57,-157.23121_21.17582,True
58,-157.23346_21.17572,True
59,,True
60,-157.23348_21.17754,True
61,-157.21922_21.17738,True
62,-157.21093_21.17253,True
63,-157.20814_21.16662,True
64,-157.24633_21.18319,True
65,-157.24587_21.18317,True
66,-157.24543_21.18312,True
67,-157.24389_21.18321,True
68,-157.24301_21.18322,True
69,-157.23650_21.18016,True
70,-157.24170_21.18236,True
71,-157.23469_21.18124,True
72,-157.23136_21.17679,True
73,-157.23181_21.17986,True
74,-157.24228_21.18518,True
75,-157.24245_21.18519,True
76,-157.24257_21.18534,True
77,-157.24270_21.18541,True
78,-157.24288_21.18546,True
79,-157.24307_21.18549,True
80,-157.24339_21.18526,True
81,-157.24357_21.18539,True
82,-157.24373_21.18540,True
83,-157.24402_21.18545,True
84,-157.24401_21.18582,True
85,-157.24415_21.18595,True
86,-157.24428_21.18603,True
87,-157.24314_21.18592,True
88,-157.24331_21.18597,True
89,-157.24354_21.18602,True
90,-157.24360_21.18615,True
91,-157.24353_21.18636,True
92,-157.24345_21.18658,True
93,-157.24331_21.18661,True
94,-157.24323_21.18671,True
95,-157.24376_21.18721,True
96,-157.24390_21.18736,True
97,-157.24406_21.18732,True
98,-157.24419_21.18728,True
99,-157.24411_21.18683,True
100,-157.24402_21.18668,True
101,-157.24393_21.18657,True
102,-157.24441_21.18725,True
103,-157.24457_21.18727,True
104,-157.24488_21.18542,True
105,-157.24528_21.18555,True
106,-157.24556_21.18543,True
107,-157.24583_21.18529,True
108,-157.24604_21.18507,True
109,-157.24606_21.18551,True
110,-157.24618_21.18589,True
111,-157.24620_21.18605,True
112,-157.24640_21.18651,True
113,-157.24568_21.18646,True
114,-157.24540_21.18644,True
115,-157.24518_21.18612,True
116,-157.24513_21.18581,True
117,-157.24551_21.18667,True
118,-157.24543_21.18694,True
119,-157.24563_21.18727,True
120,-157.24588_21.18741,True
121,-157.24618_21.18743,True
122,-157.24656_21.18743,True
123,-157.24670_21.18678,True
124,-157.24720_21.18703,True
125,-157.24745_21.18729,True
126,-157.24761_21.18750,True
127,-157.24700_21.18833,True
128,-157.24668_21.18827,True
129,-157.24640_21.18819,True
130,-157.24608_21.18819,True
131,-157.24574_21.18831,True
132,-157.24573_21.18863,True
133,-157.24586_21.18897,True
134,-157.24624_21.18894,True
135,-157.24647_21.18889,True
