OID_,Id,X,Y,ORIG_FID,Flikr_ID
0,0,-156.979436319000001,21.068698671800000,1839,flk_1839_Maui
1,0,-156.979405813000000,21.070956153699999,1849,flk_1849_Maui
2,0,-156.977000686999986,21.070927502100002,1850,flk_1850_Maui
3,0,-156.974595564999987,21.070898816400000,1851,flk_1851_Maui
4,0,-156.972190447999992,21.070870096699998,1852,flk_1852_Maui
5,0,-156.979375304000001,21.073213634999998,1860,flk_1860_Maui
6,0,-156.750393806000005,21.104196565500001,2098,flk_2098_Maui
7,0,-156.747988506000013,21.104164622100001,2099,flk_2099_Maui
8,0,-156.745583210000007,21.104132644700002,2100,flk_2100_Maui
9,0,-156.745549113000010,21.106389771600000,2103,flk_2103_Maui
10,0,-156.743143785000001,21.106357756300000,2104,flk_2104_Maui
11,0,-156.745515011000009,21.108646897800000,2106,flk_2106_Maui
12,0,-156.743109647000011,21.108614878800001,2107,flk_2107_Maui
13,0,-156.740670109000007,21.110839943799999,2112,flk_2112_Maui
14,0,-156.738264718000011,21.110807852899999,2113,flk_2113_Maui
15,0,-156.740635926000010,21.113097061200001,2115,flk_2115_Maui
16,0,-156.738230498999997,21.113064966600000,2116,flk_2116_Maui
17,0,-156.740601738000009,21.115354178000000,2119,flk_2119_Maui
18,0,-156.738196275000007,21.115322079599999,2120,flk_2120_Maui
19,0,-156.735790815000001,21.115289947099999,2121,flk_2121_Maui
20,0,-156.735756549999991,21.117547055700001,2124,flk_2124_Maui
21,0,-157.291381298000005,21.137611488699999,2143,flk_2143_Maui
22,0,-157.288974668999998,21.137587183800001,2144,flk_2144_Maui
23,0,-157.291355407999987,21.139869354500000,2147,flk_2147_Maui
24,0,-157.288948742999992,21.139845046800001,2148,flk_2148_Maui
25,0,-157.291329515000001,21.142127219700001,2150,flk_2150_Maui
26,0,-157.288922812999999,21.142102909100000,2151,flk_2151_Maui
27,0,-157.291303618000001,21.144385084200000,2154,flk_2154_Maui
28,0,-157.288896880000010,21.144360770799999,2155,flk_2155_Maui
29,0,-156.737545157999989,21.158207102900001,2190,flk_2190_Maui
30,0,-156.735139008000004,21.158174898999999,2191,flk_2191_Maui
31,0,-156.732732862000006,21.158142660999999,2192,flk_2192_Maui
32,0,-157.262159459000003,21.166669334600002,2200,flk_2200_Maui
33,0,-156.737510844000013,21.160464202800000,2214,flk_2214_Maui
34,0,-156.735104656999994,21.160431995200000,2215,flk_2215_Maui
35,0,-156.732698475000007,21.160399753400000,2216,flk_2216_Maui
36,0,-157.262133086999995,21.168927157799999,2223,flk_2223_Maui
37,0,-157.259725989999993,21.168902402400001,2224,flk_2224_Maui
38,0,-156.735070301000007,21.162689090699999,2249,flk_2249_Maui
39,0,-157.259699578000010,21.171160222200001,2250,flk_2250_Maui
40,0,-157.257292446999998,21.171135429700001,2251,flk_2251_Maui
41,0,-157.252345536000007,21.182374787699999,2353,flk_2353_Maui
42,0,-157.249938232999995,21.182349878000000,2354,flk_2354_Maui
43,0,-157.249911653999987,21.184607682300001,2367,flk_2367_Maui
44,0,-157.249885072000012,21.186865485999999,2377,flk_2377_Maui
45,0,-157.247477699000001,21.186840536199998,2378,flk_2378_Maui
46,0,-157.247451076999994,21.189098336400001,2395,flk_2395_Maui
